0.638666666666667,0.00133333333333333,1,79,
0.638666666666667,0.00133333333333333,2,79,
1.28,0.0773333333333333,1,81,
1.28,0.0773333333333333,2,81,
1.27866666666667,0.0813333333333333,1,79,
1.27866666666667,0.0813333333333333,2,79,
1.44,0.318666666666667,1,81,
1.44,0.318666666666667,2,81,
0.64,1.27866666666667,1,59,
1.28,0.638666666666667,1,62,
1.76,0.158666666666667,1,83,
0.64,1.27866666666667,2,59,
1.28,0.638666666666667,2,62,
1.76,0.158666666666667,2,83,
1.92,0.318666666666667,1,81,
1.92,0.318666666666667,2,81,
1.436,0.804,1,79,
1.436,0.804,2,79,
2.4,0.158666666666667,1,78,
2.4,0.158666666666667,2,78,
2.56,0.158666666666667,1,76,
2.56,0.158666666666667,2,76,
1.92,1.91866666666667,1,54,
2.56,1.27866666666667,1,57,
3.2,0.638666666666667,1,62,
2.72,1.11866666666667,1,74,
1.92,1.91866666666667,2,54,
2.56,1.27866666666667,2,57,
3.2,0.638666666666667,2,62,
2.72,1.11866666666667,2,74,
3.84,0.084,1,67,
3.84,0.084,2,67,
3.92533333333333,0.072,1,66,
3.92533333333333,0.072,2,66,
3.99866666666667,0.48,1,67,
3.99866666666667,0.48,2,67,
1.91866666666667,2.56133333333333,1,55,
1.91866666666667,2.56133333333333,2,55,
4.48,0.0826666666666667,1,66,
4.48,0.0826666666666667,2,66,
4.56133333333333,0.0786666666666667,1,67,
4.56133333333333,0.0786666666666667,2,67,
4.64,0.0786666666666667,1,69,
4.64,0.0786666666666667,2,69,
4.72,0.0746666666666667,1,67,
4.72,0.0746666666666667,2,67,
4.80133333333333,0.076,1,69,
4.80133333333333,0.076,2,69,
4.87866666666667,0.076,1,67,
4.87866666666667,0.076,2,67,
4.96,0.0866666666666667,1,69,
4.96,0.0866666666666667,2,69,
5.03733333333333,0.0826666666666667,1,67,
5.03733333333333,0.0826666666666667,2,67,
5.11866666666667,0.0826666666666667,1,69,
5.11866666666667,0.0826666666666667,2,69,
5.19866666666667,0.0786666666666667,1,67,
5.19866666666667,0.0786666666666667,2,67,
5.276,0.0853333333333333,1,69,
5.276,0.0853333333333333,2,69,
5.35733333333333,0.0813333333333333,1,67,
5.35733333333333,0.0813333333333333,2,67,
5.44,0.158666666666667,1,66,
5.44,0.158666666666667,2,66,
3.84,1.91866666666667,1,52,
5.12,0.638666666666667,1,61,
5.6,0.158666666666667,1,67,
3.84,1.91866666666667,2,52,
5.12,0.638666666666667,2,61,
5.6,0.158666666666667,2,67,
5.76,0.0786666666666667,1,69,
