 0,1, 55, 80
 0,1, 79, 80
 0,2, 55, 80
 0,2, 79, 80
 479,1, 79, 0
 479,2, 79, 0
 480,1, 59, 80
 480,1, 79, 80
 480,2, 59, 80
 480,2, 79, 80
 959,1, 79, 0
 959,2, 79, 0
 960,1, 62, 80
 960,1, 81, 80
 960,2, 62, 80
 960,2, 81, 80
 1018,1, 81, 0
 1018,2, 81, 0
 1020,1, 79, 80
 1020,2, 79, 80
 1077,1, 79, 0
 1077,2, 79, 0
 1080,1, 81, 80
 1080,2, 81, 80
 1319,1, 81, 0
 1319,2, 81, 0
 1320,1, 83, 80
 1320,2, 83, 80
 1439,1, 55, 0
 1439,1, 59, 0
 1439,1, 62, 0
 1439,1, 83, 0
 1439,2, 55, 0
 1439,2, 59, 0
 1439,2, 62, 0
 1439,2, 83, 0
 1440,1, 54, 80
 1440,1, 81, 80
 1440,2, 54, 80
 1440,2, 81, 80
 1679,1, 81, 0
 1679,2, 81, 0
 1680,1, 79, 80
 1680,2, 79, 80
 1799,1, 79, 0
 1799,2, 79, 0
 1800,1, 78, 80
 1800,2, 78, 80
 1919,1, 78, 0
 1919,2, 78, 0
 1920,1, 57, 80
 1920,1, 76, 80
 1920,2, 57, 80
 1920,2, 76, 80
 2039,1, 76, 0
 2039,2, 76, 0
 2040,1, 74, 80
 2040,2, 74, 80
 2400,1, 62, 80
 2400,2, 62, 80
 2879,1, 54, 0
 2879,1, 57, 0
 2879,1, 62, 0
 2879,1, 74, 0
 2879,2, 54, 0
 2879,2, 57, 0
 2879,2, 62, 0
 2879,2, 74, 0
 2880,1, 52, 80
 2880,1, 67, 80
 2880,2, 52, 80
 2880,2, 67, 80
 2943,1, 67, 0
 2943,2, 67, 0
 2944,1, 66, 80
 2944,2, 66, 80
 2998,1, 66, 0
 2998,2, 66, 0
 2999,1, 67, 80
 2999,2, 67, 80
 3359,1, 67, 0
 3359,2, 67, 0
 3360,1, 55, 80
 3360,1, 66, 80
 3360,2, 55, 80
 3360,2, 66, 80
 3421,1, 67, 80
 3421,2, 67, 80
 3422,1, 66, 0
 3422,2, 66, 0
 3480,1, 67, 0
 3480,1, 69, 80
 3480,2, 67, 0
 3480,2, 69, 80
 3539,1, 69, 0
 3539,2, 69, 0
 3540,1, 67, 80
 3540,2, 67, 80
 3596,1, 67, 0
 3596,2, 67, 0
 3601,1, 69, 80
 3601,2, 69, 80
 3658,1, 69, 0
 3658,2, 69, 0
 3659,1, 67, 80
 3659,2, 67, 80
 3716,1, 67, 0
 3716,2, 67, 0
 3720,1, 69, 80
 3720,2, 69, 80
 3778,1, 67, 80
 3778,2, 67, 80
 3785,1, 69, 0
 3785,2, 69, 0
