a1ii/iii	a0iii	stars/a0iii.dat	
a1iii/iv	a0iii	stars/a0iii.dat	
a1iii/ivm..	a0iii	stars/a0iii.dat	
a1iiim...	a0iii	stars/a0iii.dat	
a1iiish	a0iii	stars/a0iii.dat	
a1iip...	a0iii	stars/a0iii.dat	
a1iv	a0iv	stars/a0iv.dat	
a1ivm...	a0iii	stars/a0iii.dat	
a1ivn	a0iii	stars/a0iii.dat	
a1ivp...	a0iii	stars/a0iii.dat	
a1ivs	a0iii	stars/a0iii.dat	
a1iv-v	a0iii	stars/a0iii.dat	
a1iv/v	a0iii	stars/a0iii.dat	
a1iv/v+...	a0iii	stars/a0iii.dat	
a1iv/v+a/f	a0iii	stars/a0iii.dat	
a1iv/vs	a0iii	stars/a0iii.dat	
a1m	a0i	stars/a0i.dat	
a1 m	a0i	stars/a0i.dat	
a1m...	a0iii	stars/a0iii.dat	
a1(m)a1-a5	a0iii	stars/a0iii.dat	
a1m a5-f0	a0iii	stars/a0iii.dat	
a1m a5-f2	a0iii	stars/a0iii.dat	
a1ma6-f0	a0iii	stars/a0iii.dat	
a1ma7-f0	a0iii	stars/a0iii.dat	
a1ma8-f0	a0iii	stars/a0iii.dat	
a1p	a0i	stars/a0i.dat	
a1p...	a0iii	stars/a0iii.dat	
a1p si	a0iii	stars/a0iii.dat	
a1p (si)	a0iii	stars/a0iii.dat	
a1p srcreu	a0iii	stars/a0iii.dat	
a1p sr(creu)	a0iii	stars/a0iii.dat	
a1sh	a0iv	stars/a0iv.dat	
a1sp...	a0iii	stars/a0iii.dat	
a1spe...	a0iii	stars/a0iii.dat	
a1v	a0i	stars/a0i.dat	
a1:v	a0iv	stars/a0iv.dat	
a1v...	a0iii	stars/a0iii.dat	
a1v+...	a0iii	stars/a0iii.dat	
a1v+a3v	a0iii	stars/a0iii.dat	
a1v comp	a0iii	stars/a0iii.dat	
a1v + (f)	a0iii	stars/a0iii.dat	
a1v + (f/g)	a0iii	stars/a0iii.dat	
a1v+g8/k1iii	a0iii	stars/a0iii.dat	
a1v + k1iii	a0iii	stars/a0iii.dat	
a1v(m)	a0iv	stars/a0iv.dat	
a1vn	a0iv	stars/a0iv.dat	
a1vn...	a0iii	stars/a0iii.dat	
a1vnn	a0iii	stars/a0iii.dat	
a1vp	a0iv	stars/a0iv.dat	
a1vp...	a0iii	stars/a0iii.dat	
a1vs	a0iv	stars/a0iv.dat	
a1vs...	a0iii	stars/a0iii.dat	
a1vvar	a0iii	stars/a0iii.dat	
a1w	a0i	stars/a0i.dat	
a2	a2i	stars/a2i.dat	
a2:	a2i	stars/a2i.dat	
a2...	a2i	stars/a2i.dat	
a2+...	a2i	stars/a2i.dat	
a2/3iii(m)	a2i	stars/a2i.dat	
a2/3iiis:	a2i	stars/a2i.dat	
a2/3iiw	a2i	stars/a2i.dat	
a2/3ma4-a7	a2i	stars/a2i.dat	
a2/3v +a9/f0	a2i	stars/a2i.dat	
a2.5va	a2i	stars/a2i.dat	
a2/a3	a2i	stars/a2i.dat	
a2/a3+...	a2i	stars/a2i.dat	
a2/a3iab	a2i	stars/a2i.dat	
a2/a3ib	a2i	stars/a2i.dat	
a2/a3ii	a2i	stars/a2i.dat	
a2/a3iii	a2i	stars/a2i.dat	
a2/a3iii:	a2i	stars/a2i.dat	
a2/a3ii/iii	a2i	stars/a2i.dat	
a2/a3iii/iv	a2i	stars/a2i.dat	
a2/a3iiim..	a2i	stars/a2i.dat	
a2/a3iv	a2i	stars/a2i.dat	
a2/a3iv:	a2i	stars/a2i.dat	
a2/a3iv/v	a2i	stars/a2i.dat	
a2/a3m...	a2i	stars/a2i.dat	
a2/a3v	a2i	stars/a2i.dat	
a2/a3v:	a2i	stars/a2i.dat	
a2/a3v:+...	a2i	stars/a2i.dat	
a2/a3v+...	a2i	stars/a2i.dat	
a2 + a5:	a2i	stars/a2i.dat	
a2 + a7	a2i	stars/a2i.dat	
a2e	a2i	stars/a2i.dat	
a2e+...	a2i	stars/a2i.dat	
a2e + g5	a2i	stars/a2i.dat	
a2e + k0	a2i	stars/a2i.dat	
a2ia	a2i	stars/a2i.dat	
a2ia+...	a2i	stars/a2i.dat	
a2iab	a2i	stars/a2i.dat	
a2iavar	a2i	stars/a2i.dat	
a2ib	a2i	stars/a2i.dat	
a2ib/ii	a2i	stars/a2i.dat	
a2ib/iip	a2i	stars/a2i.dat	
a2ii	a2i	stars/a2i.dat	
a2iiev comp	a2i	stars/a2i.dat	
a2iii	a2i	stars/a2i.dat	
a2ii-iii	a2i	stars/a2i.dat	
a2ii/iii	a2i	stars/a2i.dat	
a2ii/iiiw..	a2i	stars/a2i.dat	
a2iii-iv	a2i	stars/a2i.dat	
a2iii/iv	a2i	stars/a2i.dat	
a2iii/ivm..	a2i	stars/a2i.dat	
a2iiim...	a2i	stars/a2i.dat	
a2iiis	a2i	stars/a2i.dat	
a2iim...	a2i	stars/a2i.dat	
a2iv	a2i	stars/a2i.dat	
a2ivm	a2i	stars/a2i.dat	
a2iv(m)	a2i	stars/a2i.dat	
a2ivn	a2i	stars/a2i.dat	
a2ivs	a2i	stars/a2i.dat	
a2iv/v	a2i	stars/a2i.dat	
a2iv/vm...	a2i	stars/a2i.dat	
a2m	a2i	stars/a2i.dat	
a2m...	a2i	stars/a2i.dat	
a2ma3-f0	a2i	stars/a2i.dat	
a2ma5-a7	a2i	stars/a2i.dat	
a2ma5-a8	a2i	stars/a2i.dat	
a2ma5-a9	a2i	stars/a2i.dat	
a2ma6-a9	a2i	stars/a2i.dat	
a2ma7-a9	a2i	stars/a2i.dat	
a2ma8-f0	a2i	stars/a2i.dat	
a2ma9-f2	a2i	stars/a2i.dat	
a2mf0-f2	a2i	stars/a2i.dat	
a2mp	a2i	stars/a2i.dat	
a2p	a2i	stars/a2i.dat	
